file_path,template_type,line_count,char_count,variable_count,variables,has_meta,meta_keys,meta_values
__init__.py,__init__.py,3,24,0,,False,,
ai_producer_audit,ai_producer_audit,61,2309,8,available_tropes;genre;keywords;platform;platform_desc;platform_preferred_tropes;platform_tone;trend_memo,False,,
audit.py,audit.py,1,0,0,,False,,
base.py,base.py,1,0,0,,False,,
comfort_persona.py,comfort_persona.py,41,2859,0,,False,,
commercial_prompts.py,commercial_prompts.py,670,19773,1,key,False,,
conflict_persona.py,conflict_persona.py,44,3453,0,,False,,
connection_persona.py,connection_persona.py,36,3031,0,,False,,
context.py,context.py,1,0,0,,False,,
creation.py,creation.py,1,0,0,,False,,
dialogue_persona.py,dialogue_persona.py,13,891,0,,False,,
enigma_persona.py,enigma_persona.py,36,2488,0,,False,,
hegemony_persona.py,hegemony_persona.py,49,3653,0,,False,,
manager.py,manager.py,724,30889,0,,False,,
marketing.py,marketing.py,1,0,0,,False,,
plotting.py,plotting.py,1,0,0,,False,,
registry.py,registry.py,219,8514,0,,False,,
serenity_persona.py,serenity_persona.py,63,4745,0,,False,,
serenity_transition.py,serenity_transition.py,42,1765,0,,False,,
templates\audit\ability_audit_prompt.j2,templates,18,346,3,blueprint;characters_json;settings_json,False,,
templates\audit\ai_producer_audit.j2,templates,8,173,4,available_tropes;genre;keywords;trend_memo,False,,
templates\audit\analyze_import_chapter_prompt.j2,templates,4,90,2,cleaned_content;schema_json,False,,
templates\audit\character_arc_audit.j2,templates,32,904,8,character_name;current_delta;current_ep_num;current_state;current_trigger;entry.arc_delta;entry.ep_num;entry.state_summary,False,,
templates\audit\comfort_audit_prompt.j2,templates,58,2342,1,comfort_scene,False,,
templates\audit\conflict_audit_prompt.j2,templates,29,825,0,,False,,
templates\audit\connection_audit_prompt.j2,templates,27,1360,1,scene,False,,
templates\audit\deai_audit_prompt.j2,templates,12,284,1,content,False,,
templates\audit\enigma_audit_prompt.j2,templates,31,927,0,,False,,
templates\audit\foreshadowing_audit_prompt.j2,templates,7,72,2,content_prefix;foreshadowing_map_json,False,,
templates\audit\hegemony_audit_prompt.j2,templates,37,2103,9,dynamic;dynamic.dominant_char;dynamic.hierarchy_level;dynamic.keystone_vulnerability;dynamic.submissive_char;event_type;misinterpretation;pov_interpretation;scene_text,False,,
templates\audit\logical_audit.j2,templates,10,115,3,past_facts;plot_bp;script,False,,
templates\audit\logical_audit_prompt.j2,templates,55,1512,4,cheat_scale;past_facts;plot_bp;script,False,,
templates\audit\plot_integrity_audit_prompt.j2,templates,22,586,5,element;narrative_state;schema_json;synopsis;world_settings_json,False,,
templates\audit\producer_audit_prompt.j2,templates,61,2309,8,available_tropes;genre;keywords;platform;platform_desc;platform_preferred_tropes;platform_tone;trend_memo,False,,
templates\audit\serenity_audit_prompt.j2,templates,29,909,0,,False,,
templates\audit\tension_audit_prompt.j2,templates,32,784,1,curve_str,False,,
templates\narrative\arc_generation_prompt.j2,templates,12,300,4,schema_json;synopsis;target_eps;title,False,,
templates\narrative\bible_creation_prompt.j2,templates,14,502,4,concept;schema_json;target_eps;world_rules_json,False,,
templates\narrative\bible_extraction.j2,templates,43,1032,1,content,False,,
templates\narrative\character_arc_extraction.j2,templates,30,769,2,ep_num;plot_text,False,,
templates\narrative\fast_plot_screen_prompt.j2,templates,12,232,1,blueprint,False,,
